আপনি কেমন আছেন?,How are you?
আমি ভালো আছি,I am good
কী অবস্থা?,How is it going?
এটার দাম কত?,How much does it cost?
একটু সাহায্য করতে পারবেন?,Could you help me?
এটা খেতে খুবই ভালো,It's so delicious!
সে একজন খেলোয়াড়,He/She is a player
আপনার নাম কী?,What is your name?
আপনার বাসা কোথায়?,Where are you from?
কেমন আছেন?,How are you?
আপনি কী করেন?,What do you do?
আপনাকে ধন্যবাদ,Thank you
মাফ করবেন,Excause me
কোথায় আছো?,Where are you now?
তাড়াতাড়ি করো,Hurry up
বুঝতে পারি নি,I did not understand
আমি ভালো আছি,I am fine
সুন্দর জায়গা,Nice place
এই জায়গাটা কোথায়?,Where is this place?
আমি ক্লান্ত,I am tired
একটু পরে দেখা হচ্ছে,See you in a moment
আবার আসবেন,Come again
তুমি কি আসছো?,Are you coming?
তুমি কি কিছু চাও?,Do you want something?
আস্তে চালাও,Drive slowly
তিনি অসুস্থ,He/she is sick
কিভাবে সাহায্য করতে পারি?,How can I help you?
কেমন চলছে?,How are you doing?
ভ্রমনটা কেমন ছিল?,How was the journey?
ভয় পেয়ো না,Do not be afraid
আমার ঘুম পাচ্ছে,I am feeling sleepy
আমি জানি না,I do not know
কোথায় যাচ্ছেন?,Where are you going?
কাল দেখা হবে,See you tomorrow
তুমি কী মনে কর,What do you think?
সমস্যা কী,What is the problem?
আজ কত তারিখ,What date is today?